Country/Territory,Mediandownloadspeed(Mbit/s)(Ookla)[1]
Romania,178.9
South Korea,241.58
Hong Kong,265.17
Monaco,220.35
Singapore,259.11
Denmark,210.71
Thailand,206.81
Hungary,193.8
Liechtenstein,193.79
France,192.25
United States,191.97
Andorra,191.23
Switzerland,188.69
Spain,186.4
Chile,246.39
China,172.95
Macau,170.3
Sweden,169.0
Canada,181.99
Japan,167.18
Taiwan,163.85
Norway,159.99
Luxembourg,154.26
New Zealand,153.88
Netherlands,152.94
United Arab Emirates,151.09
Portugal,150.39
Israel,147.36
Malta,134.48
Lithuania,132.67
Poland,130.98
Kuwait,130.66
Latvia,128.69
Panama,125.25
Germany,120.93
Finland,119.32
Austria,117.31
San Marino,115.27
Moldova,114.01
Ireland,112.81
Slovenia,108.47
Belgium,107.12
Barbados,105.71
Qatar,105.2
Malaysia,103.34
Slovakia,101.28
United Kingdom,92.63
Italy,90.93
Brazil,90.3
Saudi Arabia,90.24
Russia,87.01
Czech Republic,85.89
Trinidad and Tobago,79.89
Bulgaria,78.84
Estonia,78.58
Australia,77.88
Serbia,77.88
Belarus,68.73
Ukraine,67.52
Jordan,67.35
Vietnam,66.38
Montenegro,64.44
Turkey,62.52
Bahrain,58.53
Oman,57.53
Croatia,57.3
Paraguay,56.89
Kazakhstan,56.12
Bahamas,55.99
India,54.17
Grenada,54.65
Kosovo,54.39
Uruguay,53.88
Colombia,53.73
Ghana,51.93
Peru,51.81
Argentina,51.51
Cyprus,50.46
Belize,49.44
Ivory Coast,49.33
Philippines,49.31
Mexico,48.35
Kyrgyzstan,48.12
Costa Rica,47.93
Saint Vincent and the Grenadines,46.51
Saint Lucia,45.66
Guyana,45.37
Albania,45.25
Bosnia and Herzegovina,44.85
Laos,43.98
South Africa,43.91
Mongolia,43.67
Madagascar,41.4
Egypt,39.66
Uzbekistan,39.2
Jamaica,37.95
Dominica,37.62
North Macedonia,37.2
Greece,36.73
Bangladesh,36.02
Senegal,35.32
