Country,2016[8]
Afghanistan,0.2
Albania,7.5
Algeria,0.9
Andorra,11.3
Angola,6.4
Antigua and Barbuda,7.0
Argentina,9.8
Armenia,5.5
Australia,10.6
Austria,11.6
Azerbaijan,0.8
Bahamas,4.4
Bahrain,1.9
Bangladesh,0.0
Barbados,9.6
Bhutan,0.6
Belarus,11.2
Belgium,12.1
Belize,6.7
Benin,3.0
Bolivia,4.8
Bosnia and Herzegovina,6.4
Botswana,8.4
Brazil,7.8
Brunei,0.4
Bulgaria,12.7
Burkina Faso,8.2
Burundi,7.5
Cambodia,6.7
Cameroon,8.9
Canada,8.9
Cape Verde,5.7
Central African Republic,3.3
Chad,1.5
Chile,9.3
China,7.2
Colombia,5.8
Comoros,0.9
Congo,7.8
Cook Islands,10.6
Costa Rica,4.8
Ivory Coast,8.4
Croatia,8.9
Cuba,6.1
Cyprus,10.8
Czech Republic,14.4
Denmark,10.4
Djibouti,0.5
Dominica,8.2
Dominican Republic,6.9
DR Congo,2.6
Ecuador,4.4
Egypt,0.4
Equatorial Guinea,11.3
El Salvador,3.7
Eritrea,1.3
Estonia[a],11.6
Eswatini[b],9.9
Ethiopia,2.8
Fiji,3.0
Finland,10.7
France,12.6
Gabon,11.5
Gambia,3.8
Georgia,9.8
Germany,13.4
Ghana,2.7
Greece,10.4
Grenada,9.3
Guatemala,2.4
Guinea,1.3
Guinea-Bissau,4.8
Guyana,6.3
Haiti,5.8
Honduras,4.0
Hungary,11.4
Iceland,9.1
India,5.7
Indonesia,0.8
Iran,1.0
Iraq,0.4
Ireland,13.0
Israel,3.8
Italy,7.5
Jamaica,4.2
Japan,8.0
Jordan,0.7
Kazakhstan,7.7
Kenya,3.4
Kiribati,0.4
Kuwait,0.0
Kyrgyzstan,6.2
Laos,10.4
Latvia,12.9
Lebanon,1.5
Lesotho,5.0
Liberia,5.8
Libya,0.0
Lithuania,15.0
Luxembourg,13.0
Macedonia,8.1
Madagascar,1.9
Malawi,3.7
Malaysia,0.9
Maldives,2.7
Mali,1.3
Malta,8.1
Mauritania,0.0
Mauritius,3.6
Mexico,6.5
Micronesia,2.5
Moldova,15.2
Mongolia,7.4
Montenegro,8.0
Morocco,0.6
Mozambique,2.4
Myanmar,4.8
Namibia,9.8
Nauru,6.0
Nepal,2.0
Netherlands,8.7
Netherlands Antilles,–
New Caledonia,–
New Zealand,10.7
Nicaragua,5.2
Niger,0.5
Nigeria,13.4
Niue,7.0
North Korea,3.9
Norway,7.5
Oman,0.8
Pakistan,0.3
Panama,7.9
Papua New Guinea,1.2
Paraguay,7.2
Peru,6.3
Philippines,6.6
Poland,11.6
Portugal,12.3
Qatar,2.0
Romania,12.6
Russia,11.7
Rwanda,9.0
Saint Kitts and Nevis,9.4
Saint Lucia,9.9
Saint Vincent and the Grenadines,8.2
Samoa,2.5
São Tomé and Príncipe,6.8
Saudi Arabia,0.2
Senegal,0.7
Serbia,11.1
Seychelles,13.8
Sierra Leone,5.7
Singapore,2.5
Slovakia,11.5
Slovenia,12.6
Solomon Islands,1.4
Somalia,0.0
South Africa,9.3
South Korea,10.2
Spain,10.0
Sri Lanka,4.3
Sudan,0.5
Suriname,5.1
Syria,0.3
Sweden,9.2
Switzerland,11.5
Tajikistan,3.3
Tanzania,9.4
Thailand,8.3
East Timor,2.1
Togo,3.1
Tonga,1.5
Trinidad and Tobago,8.4
Tunisia,1.9
Turkey,2.0
Turkmenistan,5.4
Tuvalu,1.7
Uganda,9.5
Ukraine,8.6
United Arab Emirates,3.8
United Kingdom,11.4
United States,9.8
Uruguay,10.8
Uzbekistan,2.7
Vanuatu,1.0
Venezuela,5.6
Vietnam,8.3
Yemen,0.1
Zambia,4.8
Zimbabwe,4.8
