Location,Rate
Afghanistan *,4.0
Albania *,1.7
Algeria,1.8
American Samoa,0.0
Andorra,2.6
Angola,4.1
Anguilla,28.3
Antigua and Barbuda,10.7
Argentina *,4.3
Armenia *,2.2
Aruba,1.9
Australia *,0.8
Austria *,0.9
Azerbaijan *,1.9
Bahamas,29.2
Bahrain *,0.1
Bangladesh *,2.3
Barbados,11.4
Belarus,2.3
Belgium *,1.1
Belize *,31.2
Bermuda,10.9
Bhutan *,2.5
Bolivia *,3.5
Bosnia and Herzegovina,1.0
Botswana,10.5
Brazil *,22.4
British Virgin Islands,8.2
Brunei,0.5
Bulgaria *,1.3
Burundi,5.8
Cape Verde *,6.2
Cambodia *,1.8
Cameroon,4.5
Canada *,2.1
Cayman Islands,4.5
Chile *,3.6
China *,0.5
Colombia *,27.5
Cook Islands,3.5
Costa Rica *,11.4
Croatia,0.8
Cuba *,4.4
Curaçao,17.1
Cyprus,1.3
Czech Republic *,0.4
Denmark *,0.8
Dominica,13.8
Dominican Republic *,10.5
Ecuador *,14.0
East Timor,4.1
Egypt *,1.3
El Salvador *,7.8
Eritrea,14.6
Estonia *,2.0
Eswatini,12.7
Ethiopia *,8.6
Fiji,2.2
Finland *,1.6
France *,1.1
French Guiana,13.3
French Polynesia,0.4
Georgia,2.0
Germany *,0.8
Ghana *,1.8
Gibraltar *,3.2
Greece *,0.9
Greenland *,5.4
Grenada,4.0
Guadeloupe *,5.8
Guam,4.2
Guatemala *,20.0
Guinea-Bissau,1.1
Guyana *,16.3
Haiti *,13.0
Holy See,0.0
Honduras *,38.2
Hong Kong *,0.3
Hungary *,0.8
Iceland,0.5
India *,2.9
Indonesia *,0.6
Iran *,2.4
Iraq,9.4
Iraq. Central Iraq,15.4
Iraq (Kurdistan Region),2.2
Ireland,0.4
Isle of Man,0.0
Israel *,1.9
Italy *,0.5
Jamaica *,52.1
Japan *,0.2
Jordan,1.0
Kazakhstan *,3.2
Kenya *,5.3
Kiribati,7.2
Kosovo *,2.0
Kuwait *,0.3
Latvia *,3.0
Lebanon,2.3
Lesotho *,37.7
Liberia *,3.1
Liechtenstein,5.1
Lithuania,2.6
Luxembourg,0.6
Macau *,0.4
Malawi,1.8
Malaysia *,0.7
Maldives *,0.6
Malta,0.4
Marshall Islands,4.0
Martinique,2.8
Mauritania *,1.0
Mauritius *,2.6
Mayotte,5.8
Mexico *,28.2
Micronesia,0.9
Monaco,0.0
Mongolia,6.2
Montenegro *,2.4
Montserrat,0.0
Morocco,1.9
Mozambique,3.6
Myanmar *,28.4
Namibia *,12.4
Nepal *,2.3
Netherlands,0.7
New Caledonia,3.1
New Zealand *,2.6
Nicaragua,11.0
Niger,4.4
Nigeria *,21.7
North Macedonia,1.1
Northern Ireland *,1.1
Norway *,0.5
Oman *,0.2
Pakistan *,4.0
Palau,11.2
Palestine *,0.9
Panama *,12.6
Papua New Guinea *,9.4
Paraguay *,7.8
Peru *,5.7
Philippines *,4.3
Poland *,0.7
Portugal *,0.8
Puerto Rico *,17.0
Qatar *,0.3
South Korea *,0.5
Moldova *,3.0
Réunion,1.7
Romania *,1.3
Russia *,6.8
Rwanda,3.6
Saint Helena,0.0
Saint Kitts and Nevis *,29.4
Saint Lucia *,39.0
Saint Martin,28.7
Saint Pierre and Miquelon,16.5
Saint Vincent and the Grenadines,30.7
Samoa,6.2
San Marino,0.0
São Tomé and Príncipe,3.2
Saudi Arabia *,0.8
Scotland *,1.1
Senegal,0.3
Serbia *,1.1
Seychelles,4.7
Sierra Leone,2.1
Singapore *,0.1
Slovakia *,1.0
Slovenia *,0.4
Solomon Islands,3.7
South Africa *,41.9
South Sudan,14.1
Spain *,0.6
Sri Lanka *,3.4
Suriname *,5.7
Sweden *,1.1
Switzerland *,0.5
Syria,2.1
Tajikistan,0.9
Tanzania,3.7
Thailand *,4.8
Tonga *,1.0
Trinidad and Tobago *,29.4
Tunisia,4.6
Turkey *,2.5
Turkmenistan,1.1
Turks and Caicos Islands,5.7
Tuvalu *,0.0
Uganda,8.5
Ukraine *,3.8
United Arab Emirates *,0.5
United Kingdom * (England and Wales),1.2
United Kingdom * (Great Britain and Northern Ireland),1.0
United States *,6.8
U.S. Virgin Islands,49.6
Uruguay,8.9
Uzbekistan,1.4
Vanuatu,0.3
Venezuela *,19.3
Vietnam *,1.5
Yemen *,6.3
Zambia,5.2
Zimbabwe *,6.1
