Location,"Rates per 100,000[2]"
,
Afghanistan *,36
Albania *,174
Algeria,217
American Samoa,538
Andorra,64
Angola,79
Anguilla,240
Antigua and Barbuda,237
Argentina *,249
Armenia *,72
Aruba,238
Australia * [Note],158
Austria *,97
Azerbaijan *,219
Bahamas,409
Bahrain *,234
Bangladesh *,46
Barbados,258
Belarus,345
Belgium *,97
Belize *,289
Benin *,111
Bermuda,200
Bhutan *,145
Bolivia *,175
Federation of Bosnia and Herzegovina,83
Republika Srpska,46
Botswana,161
Brazil *,389
Brunei,186
Bulgaria *,93
Burkina Faso,38
Burundi,85
Cambodia *,219
Cameroon,116
Canada *,85
Cape Verde *,296
Cayman Islands,266
Central African Republic,40
Chad,59
Chile *,264
China * [Note],119
Colombia *,196
Comoros,43
Congo,27
Cook Islands,224
Costa Rica *,301
Ivory Coast *,92
Croatia,102
Cuba * [Note],794
Curaçao,261
Cyprus,103
Czech Republic *,187
DR Congo *,24
Denmark *,72
Djibouti,71
Dominica,316
Dominican Republic *,222
Ecuador *,167
Egypt *,116
El Salvador *,1 086
England and Wales * [Note],143
Equatorial Guinea,63
Eritrea [Note],
Estonia *,150
Eswatini,243
Ethiopia *,99
Faroe Islands,23
Fiji,256
Finland *,51
France *,107
French Guiana,280
French Polynesia,189
Gabon,228
Gambia,22
Georgia,265
Germany *,67
Ghana *,47
Gibraltar *,273
Greece *,103
Greenland *,241
Grenada,335
Guadeloupe *,190
Guam,408
Guatemala *,127
Guernsey,112
Guinea,34
Guinea-Bissau,31
Guyana *,271
Haiti *,98
Honduras *,191
Hong Kong *,106
Hungary *,194
Iceland,35
India *,40
Indonesia *,99
Iran *,228
Iraq,179
Ireland,91
Isle of Man,103
Israel *,168
Italy *,97
Jamaica *,125
Japan *,36
Jersey,135
Jordan,185
Kazakhstan *,184
Kenya *,107
Kiribati,113
Kosovo *,93
Kuwait *,103
Kyrgyzstan,117
Laos *,166
Latvia *,169
Lebanon,143
Lesotho *,104
Liberia *,55
Libya,176
Liechtenstein,31
Lithuania,177
Luxembourg,106
Macau *,197
Madagascar,98
Malawi,76
Malaysia *,217
Maldives *,314
Mali,40
Malta,113
Marshall Islands,66
Martinique,254
Mauritania *,57
Mauritius *,197
Mayotte,205
Mexico *,175
Micronesia,127
Moldova *,236
Monaco,36
Mongolia,183
Montenegro *,153
Morocco,260
Mozambique,62
Myanmar *,183
Namibia *,318
Nauru *,140
Nepal *,83
Netherlands,65
New Caledonia,195
New Zealand *,162
Nicaragua,332
Niger,39
Nigeria *,35
North Korea * [Note],
North Macedonia,128
Northern Ireland * [Note],99
Northern Mariana Islands,273
Norway *,55
Oman *,46
Pakistan *,38
Palau,428
Panama *,499
Papua New Guinea *,58
Paraguay *,234
Peru *,264
Philippines *,162
Poland *,208
Portugal *,122
Puerto Rico *,221
Qatar *,58
South Korea *,103
Réunion,137
Romania *,122
Russia *,300
Rwanda,621
Samoa,179
San Marino,26
São Tomé and Príncipe,115
Saudi Arabia *,207
Scotland * [Note],141
Senegal,67
Serbia *,155
Seychelles,360
Sierra Leone,57
Singapore *,156
Sint Maarten,196
Slovakia *,187
Slovenia *,70
Solomon Islands,79
Somalia [Note],
South Africa *,250
South Sudan,58
Spain *,116
Sri Lanka *,128
Saint Kitts and Nevis *,296
Saint Lucia *,278
Saint Vincent and the Grenadines,347
Sudan *,52
Suriname *,185
Sweden *,74
Switzerland *,73
Syria,60
Taiwan *,234
Tajikistan,141
Tanzania,50
Thailand *,377
East Timor,55
Togo,59
Tonga *,166
Trinidad and Tobago *,276
Tunisia,196
Turkey *,392
Turkmenistan,576
Tuvalu *,110
Uganda,151
Ukraine *,123
United Arab Emirates *,104
United States * [Note],531
Uruguay,408
Uzbekistan,85
Vanuatu,65
Venezuela *,199
Vietnam *,130
British Virgin Islands,368
U.S. Virgin Islands,345
Yemen *,35
Zambia,118
Zimbabwe *,121
