Country,Cigarettes
Andorra *,6398.3
Luxembourg *,6330.9
Belarus *,2911.3
North Macedonia *,2784.9
Albania *,2491.6
Belgium *,2440.9
Czech Republic *,2427.9
Jordan *,2306.1
Russia *,2295.0
Syria *,2291.7
Slovenia *,2236.5
Greece *,2078.6
Hungary *,2060.3
China *,2043.0
Lebanon *,2037.5
Armenia *,1985.7
Mongolia *,1982.5
Cyprus *,1961.4
Austria *,1927.0
Georgia *,1917.7
Serbia *,1898.6
Ukraine *,1849.4
Kazakhstan *,1800.9
Turkey *,1770.7
Bosnia and Herzegovina *,1767.2
Estonia *,1759.9
Bulgaria *,1757.3
Moldova *,1747.2
Papua New Guinea *,1689.3
Indonesia *,1675.5
South Korea *,1667.4
Germany *,1599.5
Japan *,1583.2
Tunisia *,1580.0
Croatia *,1578.9
Malta *,1527.9
Azerbaijan *,1525.6
Slovakia *,1500.9
Spain *,1499.0
Italy *,1493.3
Switzerland *,1489.8
Samoa *,1470.6
Netherlands *,1459.9
Egypt *,1449.4
Solomon Islands *,1419.1
Kuwait *,1412.7
Kiribati *,1396.0
Poland *,1363.1
Saudi Arabia *,1341.0
Denmark *,1298.0
Lithuania *,1292.0
Israel *,1280.7
Romania *,1204.3
Latvia *,1189.1
Iraq *,1184.4
Argentina *,1176.1
Portugal *,1133.4
Philippines *,1132.2
Bahrain *,1101.5
Montenegro *,1100.8
Finland *,1098.8
France *,1089.9
Vanuatu *,1069.2
Vietnam *,1049.6
Algeria *,1046.7
Canada *,1021.3
Qatar *,1020.3
United States *,1016.6
North Korea *,993.3
Tonga *,986.9
Ireland *,976.5
Turkmenistan *,962.1
Iran *,936.5
Australia *,917.0
Uruguay *,899.4
Singapore *,851.2
Iceland *,848.1
Thailand *,837.4
United Kingdom *,827.7
Laos *,814.6
Djibouti *,785.5
Chile *,769.3
United Arab Emirates *,748.5
Bangladesh *,744.1
Cambodia *,726.2
Sweden *,716.2
New Zealand *,685.1
Trinidad and Tobago *,682.5
Morocco *,682.3
Comoros *,585.4
Maldives *,560.9
Saint Lucia *,553.9
Norway *,552.8
Seychelles *,543.6
Mauritius *,542.5
Kyrgyzstan *,519.6
Suriname *,511.7
Nepal *,511.6
South Africa *,509.6
Mozambique *,501.9
Uzbekistan *,495.9
Fiji *,491.1
Honduras *,469.8
Sierra Leone *,468.6
Gabon *,451.2
Lesotho *,448.0
Malaysia *,441.2
Bahamas,438.6
Botswana *,433.5
Yemen *,423.8
Costa Rica *,411.4
Burkina Faso *,408.1
Madagascar *,404.2
Cape Verde *,397.1
Venezuela *,396.2
Paraguay *,384.5
South Sudan *,383.7
Pakistan *,363.2
Tajikistan *,361.1
Senegal *,359.4
Guyana *,359.1
Ivory Coast *,352.7
Colombia *,351.4
Angola *,340.2
Sudan *,339.9
Brazil *,333.5
Equatorial Guinea *,328.2
Nicaragua *,327.8
Libya *,327.2
Mexico *,327.1
Mali *,316.9
Guinea *,316.0
Jamaica *,312.5
Afghanistan *,311.6
Namibia *,298.4
Bolivia *,291.6
Chad *,279.3
Barbados *,277.5
Oman *,271.1
Kenya *,264.4
Saint Vincent and the Grenadines *,259.6
Sri Lanka *,254.6
Gambia,249.1
Malawi *,241.1
Burundi *,239.4
Cuba *,233.5
Myanmar *,226.5
Panama *,219.3
Dominican Republic *,218.9
Central African Republic *,213.2
El Salvador *,206.7
Benin *,204.0
Somalia *,198.5
Uganda *,195.7
Congo *,195.2
Tanzania *,181.8
Cameroon *,171.0
Belize *,168.6
Nigeria *,162.5
Grenada *,158.2
Liberia *,154.4
Dominica *,147.4
Togo *,147.3
Zambia *,145.4
Haiti *,143.0
Eritrea *,132.3
DR Congo *,128.0
Zimbabwe *,122.9
Niger *,118.8
Ethiopia *,115.3
Guatemala *,111.8
Peru *,97.7
Rwanda *,94.0
Ecuador *,93.5
Swaziland *,91.7
India *,89.3
Antigua and Barbuda,89.2
Ghana *,40.5
Mauritania *,30.3
Guinea-Bissau *,25.3
Brunei *,9.7
