Country,Average daily dietary energy consumption per capita[8]
Country,kilocalories
Ireland,3885
United States,3782
Belgium,3769
Turkey,3711
Austria,3695
Iceland,3654
Romania,3581
Canada,3566
Germany,3554
Poland,3537
Israel,3528
Italy,3503
France,3502
Montenegro,3500
Portugal,3480
Kuwait,3471
Luxembourg,3465
Tunisia,3450
South Korea,3420
Malta,3420
Morocco,3412
Lithuania,3411
Denmark,3401
Australia,3391
Greece,3382
Norway,3371
Albania,3360
Switzerland,3354
Russia,3345
United Kingdom,3344
Cuba,3344
Finland,3343
Algeria,3322
Spain,3322
Hungary,3316
United Arab Emirates,3314
Argentina,3307
Bosnia and Herzegovina,3307
Saudi Arabia,3307
Brazil,3301
Netherlands,3297
Egypt,3292
Czech Republic,3277
Belarus,3270
Hong Kong,3267
Estonia,3247
Latvia,3229
China,3206
Uruguay,3202
New Zealand,3191
Slovenia,3191
Sweden,3184
Mexico,3157
Azerbaijan,3149
Colombia,3114
Ukraine,3102
Iran,3087
Kiribati,3078
Croatia,3074
North Macedonia,3072
Kazakhstan,3067
Mauritius,3051
Ghana,3035
Samoa,3030
Chile,3029
Costa Rica,3029
Vietnam,3025
Cyprus,3019
Uzbekistan,3011
Armenia,2997
Trinidad and Tobago,2991
Brunei,2985
Taiwan,2983
Saint Vincent and the Grenadines,2968
Barbados,2956
Dominica,2952
Oman,2940
Guyana,2913
South Africa,2899
Dominican Republic,2892
Indonesia,2884
Mauritania,2877
Mali,2873
Slovakia,2871
New Caledonia (France),2858
Lebanon,2857
Bulgaria,2854
Panama,2851
Malaysia,2845
Georgia,2835
Turkmenistan,2830
Serbia,2828
Thailand,2804
Jamaica,2792
Fiji,2781
Ivory Coast,2778
Peru,2775
Belize,2775
Nepal,2769
Paraguay,2768
Laos,2758
Benin,2755
Guinea,2746
Burkina Faso,2737
Sri Lanka,2737
Cameroon,2733
Jordan,2732
Kyrgyzstan,2729
Japan,2705
Suriname,2698
El Salvador,2696
Djibouti,2694
Honduras,2673
Myanmar,2673
Philippines,2662
Bahamas,2655
Gabon,2633
Saint Lucia,2618
Iraq,2608
Vanuatu,2607
Ecuador,2606
Niger,2601
Nicaragua,2582
Saint Kitts and Nevis,2582
Mongolia,2579
Sudan,2578
Nigeria,2572
Bangladesh,2563
Guatemala,2551
Senegal,2545
Cape Verde,2541
India,2533
Gambia,2533
Cambodia,2492
Pakistan,2486
Namibia,2469
São Tomé and Príncipe,2446
Antigua and Barbuda,2445
Togo,2443
Eswatini,2426
Solomon Islands,2415
Bolivia,2412
Grenada,2402
Malawi,2392
Angola,2385
Moldova,2383
Tanzania,2373
Sierra Leone,2369
Botswana,2342
Ethiopia,2338
Lesotho,2323
Timor-Leste,2287
Republic of the Congo,2285
Maldives,2235
Guinea-Bissau,2229
Kenya,2197
Rwanda,2188
Liberia,2168
Yemen,2154
Haiti,2121
Venezuela,2120
Chad,2115
Tajikistan,2109
Mozambique,2103
Afghanistan,2040
North Korea,2019
Zambia,2002
Uganda,1981
Madagascar,1938
Zimbabwe,1908
Central African Republic,1786
