Country/Territory,Combined
Afghanistan,19.5
Albania,34.3
Algeria,28.9
American Samoa,27.2
Andorra,46.2
Angola,15.9
Anguilla,35.7
Antigua and Barbuda,32.7
Argentina,32.4
Armenia,36.6
Aruba,39.9
Australia,37.5
Austria,44.5
Azerbaijan,32.6
The Bahamas,32.8
Bahrain,32.9
Bangladesh,27.9
Barbados,39.5
Belarus,40.9
Belgium,41.6
Belize,23.9
Benin,17.0
Bermuda,43.6
Bhutan,29.1
Bolivia,25.3
Bosnia and Herzegovina,43.3
Botswana,25.7
Brazil,35.2
British Virgin Islands,37.2
Brunei,31.1
Bulgaria,43.7
Burkina Faso,17.9
Burundi,17.7
Cape Verde,26.8
Cambodia,26.4
Cameroon,18.5
Canada,41.8
Cayman Islands,40.5
Central African Republic,20.0
Chad,16.1
Chile,35.5
China,38.4
Colombia,31.2
Comoros,20.9
Democratic Republic of the Congo,16.7
Republic of the Congo,19.5
Cook Islands,38.3
Costa Rica,32.6
Cote d'Ivoire,20.3
Croatia,43.9
Cuba,42.1
Curacao,36.7
Cyprus,37.9
Czech Republic,43.3
Denmark,42.0
Djibouti,24.9
Dominica,34.9
Dominican Republic,27.9
Ecuador,28.8
Egypt,24.1
El Salvador,27.7
Equatorial Guinea,20.3
Eritrea,20.3
Estonia,43.7
Eswatini (Swaziland),23.7
Ethiopia,19.8
European Union,44.0
Faroe Islands,37.2
Fiji,29.9
Finland,42.8
France,41.7
French Polynesia,33.3
Gabon,21.0
The Gambia,21.8
Palestine (Gaza Strip),18.0
Georgia,38.6
Germany,47.8
Ghana,21.4
Gibraltar,35.5
Greece,45.3
Greenland,34.3
Grenada,33.3
Guam,29.4
Guatemala,23.2
Guernsey,44.3
Guinea-Bissau,18.0
Guinea,19.1
Guyana,27.5
Haiti,24.1
Honduras,24.4
Hong Kong,45.6
Hungary,43.6
Iceland,37.1
India,28.7
Indonesia,31.1
Iran,31.7
Iraq,21.2
Ireland,37.8
Isle of Man,44.6
Israel,30.4
Italy,46.5
Jamaica,29.4
Japan,48.6
Jersey,37.5
Jordan,23.5
Kazakhstan,31.6
Kenya,20.0
Kiribati,25.7
North Korea,34.6
South Korea,43.2
Kosovo,30.5
Kuwait,29.7
Kyrgyzstan,27.3
Laos,24.0
Latvia,44.4
Lebanon,33.7
Lesotho,24.7
Liberia,18.0
Libya,25.8
Liechtenstein,43.7
Lithuania,44.5
Luxembourg,39.5
Macau,40.8
North Macedonia,39.0
Madagascar,20.3
Malawi,16.8
Malaysia,29.2
Maldives,29.5
Mali,16.1
Malta,42.3
Marshall Islands,23.8
Mauritania,21.0
Mauritius,36.3
Mexico,29.3
Federated States of Micronesia,26.3
Moldova,37.7
Monaco,55.4
Mongolia,29.8
Montenegro,39.6
Montserrat,34.8
Morocco,29.1
Mozambique,17.0
Myanmar,29.2
Namibia,21.8
Nauru,27.0
Nepal,25.3
Netherlands,42.8
New Caledonia,32.9
New Zealand,37.2
Nicaragua,27.3
Nigeria,18.6
Niger,14.8
Northern Mariana Islands,32.8
Norway,39.5
Oman,26.2
Pakistan,22.0
Palau,33.9
Panama,30.1
Papua New Guinea,24.0
Paraguay,29.7
Peru,29.1
Philippines,24.1
Poland,41.9
Portugal,44.6
Puerto Rico,43.6
Qatar,33.7
Romania,42.5
Russia,40.3
Rwanda,19.7
Saint Barthelemy,45.6
"Saint Helena, Ascension, and Tristan da Cunha",43.2
Saint Kitts and Nevis,36.5
Saint Lucia,36.9
Saint Martin,33.3
Saint Pierre and Miquelon,48.5
Saint Vincent and the Grenadines,35.3
Samoa,25.6
San Marino,45.2
Sao Tome and Principe,19.3
Saudi Arabia,30.8
Senegal,19.4
Serbia,43.4
Seychelles,36.8
Sierra Leone,19.1
Singapore,35.6
Sint Maarten,41.1
Slovakia,41.8
Slovenia,44.9
Solomon Islands,23.5
Somalia,18.5
South Africa,28.0
South Sudan,18.6
Spain,43.9
Sri Lanka,33.7
Sudan,18.3
Suriname,31.0
Sweden,41.1
Switzerland,42.7
Syria,23.5
Taiwan,42.3
Tajikistan,25.3
Tanzania,18.2
Thailand,39.0
East Timor,19.6
Togo,20.0
Tonga,24.1
Trinidad and Tobago,37.8
Tunisia,32.7
Turkey,32.2
Turkmenistan,29.2
Turks and Caicos Islands,34.6
Tuvalu,26.6
Uganda,15.7
Ukraine,41.2
United Arab Emirates,38.4
United Kingdom,40.6
United States,38.5
Uruguay,35.5
Uzbekistan,30.1
Vanuatu,23.0
Venezuela,30.0
Vietnam,31.9
Virgin Islands,41.8
Wallis and Futuna,34.0
Palestine (West Bank),21.9
Western Sahara (2018 & 2019 estimates),21.5
World,31.0
Yemen (2016 & 2018 estimates),19.8
Zambia,16.9
Zimbabwe,20.5
