Country,Milk consumption 2013 (kg/capita/yr) [1]
Finland,430.76
Montenegro,349.21
Netherlands,341.47
Sweden,341.23
Switzerland,318.69
Albania,303.72
Lithuania,295.46
Ireland,291.86
Kazakhstan,288.12
Estonia,284.85
Denmark,277.3
Norway,261.34
Germany,258.7
Austria,258.09
Luxembourg,255.3
Greece,255.26
United States,254.69
Italy,246.88
France,241.31
Romania,238.33
Belgium,236.19
Slovenia,235.01
Australia,234.49
United Kingdom,232.2
Croatia,231.02
Iceland,225.82
Kyrgyzstan,210.92
Uruguay,210.54
Armenia,209.03
Poland,205.39
Portugal,205.04
Czech Republic,195.2
Argentina,195.08
Turkey,193.94
Israel,193.6
Malta,190.06
Canada,187.77
Costa Rica,183.28
Pakistan,183.13
Latvia,174.11
Bosnia and Herzegovina,174.03
Spain,164.29
Russia,163.57
Mauritania,160.82
Hungary,159.05
North Macedonia,157.93
Kuwait,157.66
Bulgaria,155.71
Sudan,155.2
Moldova,155.18
Oman,152.28
Azerbaijan,152.07
Brazil,149.28
Georgia,149.26
Serbia,148.53
Ukraine,145.03
Slovakia,143.14
Guyana,141.68
Algeria,141.53
Mongolia,139.82
Ecuador,139.6
New Zealand,137.25
Turkmenistan,137.09
Dominica,136.93
Belarus,133.73
United Arab Emirates,132.66
Uzbekistan,130.81
El Salvador,124.34
Antigua and Barbuda,123.74
Venezuela,117.79
Botswana,117.74
Mauritius,117.27
Chile,116.11
Cape Verde,115.64
Lebanon,114.52
Tunisia,114.47
Cyprus,113.31
Mexico,111.87
Maldives,111.47
Syria,111.43
Barbados,110.48
Colombia,108.47
New Caledonia,108.0
Hong Kong,105.85
Bahamas,104.76
Trinidad and Tobago,103.8
Netherlands Antilles,103.22
Cuba,99.94
Mali,98.68
Bermuda,95.56
Kenya,94.86
French Polynesia,93.56
Honduras,91.33
Jamaica,91.13
Saint Vincent and the Grenadines,87.62
Saint Kitts and Nevis,87.36
Grenada,86.88
Nicaragua,85.16
India,84.5
Saudi Arabia,83.65
Saint Lucia,80.65
Belize,80.3
Seychelles,79.23
Jordan,77.68
Paraguay,75.72
Libya,75.0
Dominican Republic,73.75
Namibia,73.05
Japan,72.06
Brunei,70.47
Panama,70.29
Afghanistan,62.23
Peru,62.15
Djibouti,59.81
Egypt,59.46
Niger,58.92
Eswatini,56.6
South Africa,55.75
Morocco,54.68
Tajikistan,54.54
Samoa,52.55
Nepal,52.1
State of Palestine,
Suriname,48.97
Iran,46.69
Guatemala,46.6
Bolivia,46.04
Gambia,45.71
Ethiopia,44.14
Yemen,43.97
Taiwan,41.72
Tanzania,40.29
Fiji,40.2
Macao,37.46
Uganda,37.27
Sri Lanka,34.98
Mainland China,32.66
Zimbabwe,31.9
Myanmar,31.48
Gabon,30.16
Burkina Faso,29.79
Thailand,29.35
South Korea,29.05
Malaysia,25.28
Lesotho,25.35
Vanuatu,25.21
Madagascar,24.84
São Tomé and Príncipe,22.58
Iraq,22.18
Bangladesh,21.91
Chad,20.63
Guinea,20.62
Guinea-Bissau,19.88
Haiti,18.98
Senegal,16.86
Vietnam,16.36
Philippines,15.66
Cameroon,15.27
Indonesia,14.82
Central African Republic,13.53
Angola,12.3
Eritrea,11.57
Solomon Islands,11.52
Comoros,11.15
East Timor,10.96
Kiribati,10.93
Congo,10.69
Zambia,9.71
Ghana,9.08
Benin,8.4
Malawi,7.98
Togo,7.96
Nigeria,7.91
Rwanda,7.23
Ivory Coast,6.36
Sierra Leone,7.0
Mozambique,4.79
Burundi,4.6
North Korea,3.79
Cambodia,3.47
Laos,2.92
Liberia,3.04
Democratic Republic of the Congo,
