Country,Score
Hong Kong,90.2
Singapore,89.4
New Zealand,84.4
Switzerland,81.9
Australia,80.9
Ireland,80.5
United Kingdom,78.9
Canada,77.7
United Arab Emirates,77.1
Taiwan,77.3
Iceland,77.1
United States,76.8
Netherlands,76.8
Denmark,76.7
Estonia,76.6
Georgia,75.9
Luxembourg,75.9
Chile,75.4
Sweden,75.2
Finland,74.9
Lithuania,74.2
Malaysia,74.0
Czech Republic,73.7
Germany,73.5
Mauritius,73.0
Norway,73.0
Israel,72.8
Qatar,72.6
South Korea,72.3
Japan,72.1
Austria,72.0
Rwanda,71.1
North Macedonia,71.1
Macau,71.0
Latvia,70.4
Botswana,69.5
Bulgaria,69.0
Saint Lucia,68.7
Jamaica,68.6
Uruguay,68.6
Malta,68.6
Romania,68.6
Thailand,68.3
Cyprus,68.1
Peru,67.8
Poland,67.8
Armenia,67.7
Belgium,67.3
Colombia,67.3
Panama,67.2
Kosovo,67.0
Albania,66.5
Jordan,66.5
Bahrain,66.4
Saint Vincent and the Grenadines,65.8
Indonesia,65.8
Spain,65.7
Slovenia,65.5
Kazakhstan,65.4
Azerbaijan,65.4
Costa Rica,65.3
Portugal,65.3
Brunei Darussalam,65.1
Hungary,65.0
Slovakia,65.0
Mexico,64.7
Barbados,64.7
Turkey,64.6
Serbia,63.9
Philippines,63.8
France,63.8
Dominica,63.6
Cabo Verde,63.1
Bhutan,62.9
Morocco,62.9
The Bahamas,62.9
Guatemala,62.6
Côte d'Ivoire,62.4
Kyrgyz Republic,62.3
Italy,62.2
Fiji,62.2
Samoa,62.2
Bosnia and Herzegovina,61.9
El Salvador,61.8
Paraguay,61.8
Croatia,61.4
Seychelles,61.4
Oman,61.0
Dominican Republic,61.0
Kuwait,60.8
Saudi Arabia,60.7
Montenegro,60.5
Honduras,60.2
Tanzania,60.2
Uganda,59.7
Burkina Faso,59.4
Moldova,59.1
Russia,58.9
Namibia,58.7
China,58.4
Papua New Guinea,58.4
South Africa,58.3
Mali,58.1
Belarus,57.9
Cambodia,57.8
Greece,57.7
Nicaragua,57.7
Tonga,57.7
Ghana,57.5
Laos,57.4
Nigeria,57.3
Trinidad and Tobago,57.0
Guyana,56.8
Madagascar,56.6
Sri Lanka,56.4
Vanuatu,56.4
Senegal,56.3
Gabon,56.3
Mauritania,55.7
Guinea,55.7
Bangladesh,55.6
Tajikistan,55.6
Belize,55.4
Comoros,55.4
Tunisia,55.4
Mongolia,55.4
Benin,55.3
Vietnam,55.3
India,55.2
Kenya,55.1
Pakistan,55.0
Eswatini,54.7
Solomon Islands,54.6
São Tomé and Príncipe,54.0
Guinea-Bissau,54.0
Nepal,53.8
Ethiopia,53.6
Zambia,53.6
Myanmar,53.6
Uzbekistan,53.3
Maldives,53.2
Lesotho,53.1
Haiti,52.7
Egypt,52.5
Cameroon,52.4
The Gambia,52.4
Ukraine,52.3
Argentina,52.2
Micronesia,51.9
Brazil,51.9
Niger,51.6
Afghanistan,51.5
Malawi,51.4
Lebanon,51.1
Iran,51.1
Angola,50.6
Democratic Republic of Congo,50.3
Togo,50.3
Chad,49.9
Liberia,49.7
Central African Republic,49.1
Burundi,48.9
Mozambique,48.6
Turkmenistan,48.4
Suriname,48.1
Sudan,47.7
Sierra Leone,47.5
Kiribati,47.3
Djibouti,47.1
Ecuador,46.9
Algeria,46.2
Timor-Leste,44.2
Bolivia,42.3
Equatorial Guinea,41.0
Zimbabwe,40.4
Republic of Congo,39.7
Eritrea,38.9
Cuba,27.8
Venezuela,25.9
North Korea,5.9
